"region","month_year","monthly_revenue"
"Akdeniz","2019-01-01 00:00:00","124519.00"
"Akdeniz","2019-02-01 00:00:00","16687.49"
"Akdeniz","2019-03-01 00:00:00","207.15"
"Akdeniz","2019-04-01 00:00:00","39421.95"
"Akdeniz","2019-05-01 00:00:00","118.00"
"Akdeniz","2019-06-01 00:00:00","156005.70"
"Akdeniz","2019-07-01 00:00:00","49082.50"
"Akdeniz","2019-08-01 00:00:00","101225.65"
"Akdeniz","2019-09-01 00:00:00","317.58"
"Akdeniz","2019-10-01 00:00:00","12353.55"
"Akdeniz","2019-11-01 00:00:00","180015.25"
"Akdeniz","2019-12-01 00:00:00","245.10"
"Doğu Anadolu","2019-02-01 00:00:00","1510.00"
"Doğu Anadolu","2019-03-01 00:00:00","188.52"
"Doğu Anadolu","2019-06-01 00:00:00","22646.91"
"Doğu Anadolu","2019-07-01 00:00:00","465.57"
"Doğu Anadolu","2019-08-01 00:00:00","74.20"
"Doğu Anadolu","2019-09-01 00:00:00","23594.63"
"Doğu Anadolu","2019-11-01 00:00:00","16774.88"
"Doğu Anadolu","2019-12-01 00:00:00","3899.55"
"Ege","2019-01-01 00:00:00","34942.30"
"Ege","2019-02-01 00:00:00","23279.47"
"Ege","2019-03-01 00:00:00","127869.51"
"Ege","2019-04-01 00:00:00","266679.32"
"Ege","2019-05-01 00:00:00","81100.88"
"Ege","2019-06-01 00:00:00","70621.55"
"Ege","2019-07-01 00:00:00","65073.17"
"Ege","2019-08-01 00:00:00","989212.34"
"Ege","2019-09-01 00:00:00","517.84"
"Ege","2019-10-01 00:00:00","236802.33"
"Ege","2019-11-01 00:00:00","89038.45"
"Ege","2019-12-01 00:00:00","35014.64"
"Güneydoğu Anadolu","2019-01-01 00:00:00","626.10"
"Güneydoğu Anadolu","2019-02-01 00:00:00","162.35"
"Güneydoğu Anadolu","2019-03-01 00:00:00","59023.27"
"Güneydoğu Anadolu","2019-04-01 00:00:00","517.17"
"Güneydoğu Anadolu","2019-05-01 00:00:00","17676.65"
"Güneydoğu Anadolu","2019-06-01 00:00:00","119377.62"
"Güneydoğu Anadolu","2019-07-01 00:00:00","434.11"
"Güneydoğu Anadolu","2019-08-01 00:00:00","18909.44"
"Güneydoğu Anadolu","2019-09-01 00:00:00","7567.50"
"Güneydoğu Anadolu","2019-10-01 00:00:00","54739.57"
"Güneydoğu Anadolu","2019-11-01 00:00:00","64541.04"
"Güneydoğu Anadolu","2019-12-01 00:00:00","18305.35"
"Karadeniz","2019-01-01 00:00:00","249.02"
"Karadeniz","2019-02-01 00:00:00","347.25"
"Karadeniz","2019-03-01 00:00:00","209.96"
"Karadeniz","2019-04-01 00:00:00","45552.37"
"Karadeniz","2019-05-01 00:00:00","30620.23"
"Karadeniz","2019-06-01 00:00:00","11916.90"
"Karadeniz","2019-07-01 00:00:00","59019.40"
"Karadeniz","2019-08-01 00:00:00","272620.35"
"Karadeniz","2019-09-01 00:00:00","86.60"
"Karadeniz","2019-10-01 00:00:00","974.45"
"Karadeniz","2019-11-01 00:00:00","665.04"
"Karadeniz","2019-12-01 00:00:00","16171.89"
"Marmara","2019-01-01 00:00:00","1143044.80"
"Marmara","2019-02-01 00:00:00","494338.95"
"Marmara","2019-03-01 00:00:00","478615.77"
"Marmara","2019-04-01 00:00:00","2096679.38"
"Marmara","2019-05-01 00:00:00","664552551.60"
"Marmara","2019-06-01 00:00:00","151218.42"
"Marmara","2019-07-01 00:00:00","785885.59"
"Marmara","2019-08-01 00:00:00","455838.79"
"Marmara","2019-09-01 00:00:00","84006.69"
"Marmara","2019-10-01 00:00:00","288986.30"
"Marmara","2019-11-01 00:00:00","291871.87"
"Marmara","2019-12-01 00:00:00","2684261.01"
"İç Anadolu","2019-01-01 00:00:00","82145.12"
"İç Anadolu","2019-02-01 00:00:00","100675.16"
"İç Anadolu","2019-03-01 00:00:00","251699126.99"
"İç Anadolu","2019-04-01 00:00:00","58648.94"
"İç Anadolu","2019-05-01 00:00:00","5551.30"
"İç Anadolu","2019-06-01 00:00:00","316111.61"
"İç Anadolu","2019-07-01 00:00:00","476277.11"
"İç Anadolu","2019-08-01 00:00:00","9471.80"
"İç Anadolu","2019-09-01 00:00:00","484412.56"
"İç Anadolu","2019-10-01 00:00:00","71110.12"
"İç Anadolu","2019-11-01 00:00:00","123992.99"
"İç Anadolu","2019-12-01 00:00:00","39109.75"
