"item_code","regions","total_count"
8619,"Ege,     Marmara,     İç Anadolu","4"
7455,"Ege,     Marmara","4"
22787,"Güneydoğu Anadolu,     Marmara","3"
3608,"Ege,     Marmara,     İç Anadolu","3"
24136,"Ege,     Marmara","3"
27635,"Güneydoğu Anadolu,     Marmara","3"
3187,"Marmara,     İç Anadolu","2"
6131,"Ege,     Marmara","2"
8980,"Ege,     Marmara","2"
9398,"Marmara,     İç Anadolu","2"
9914,"Karadeniz,     Marmara","2"
10628,"Marmara,     İç Anadolu","2"
10669,"Marmara,     İç Anadolu","2"
11190,"Ege,     İç Anadolu","2"
11814,"Marmara,     İç Anadolu","2"
11966,"Ege,     Marmara","2"
11976,"Güneydoğu Anadolu,     Marmara","2"
12770,"Güneydoğu Anadolu,     İç Anadolu","2"
13279,"Güneydoğu Anadolu,     Marmara","2"
14287,"Güneydoğu Anadolu,     İç Anadolu","2"
14523,"Doğu Anadolu,     Ege","2"
14806,"Güneydoğu Anadolu,     Marmara","2"
15662,"Akdeniz,     Marmara","2"
16062,"Marmara,     İç Anadolu","2"
16083,"Ege,     Marmara","2"
16581,"Güneydoğu Anadolu,     Marmara","2"
16764,"Akdeniz,     Marmara","2"
29,"Ege,     İç Anadolu","2"
17881,"Güneydoğu Anadolu,     Marmara","2"
19925,"Marmara,     İç Anadolu","2"
21002,"Ege,     Karadeniz","2"
21447,"Marmara,     İç Anadolu","2"
22050,"Karadeniz,     Marmara","2"
22291,"Karadeniz,     Marmara","2"
23297,"Doğu Anadolu,     Ege","2"
23612,"Marmara,     İç Anadolu","2"
23642,"Ege,     İç Anadolu","2"
24552,"Güneydoğu Anadolu,     İç Anadolu","2"
25025,"Marmara,     İç Anadolu","2"
26729,"Marmara,     İç Anadolu","2"
26809,"Karadeniz,     Marmara","2"
27405,"Güneydoğu Anadolu,     Marmara","2"
16801,"Akdeniz,     Marmara","2"
1615,"Güneydoğu Anadolu,     Marmara","2"
1793,"Akdeniz,     Marmara","2"
2009,"Ege,     Karadeniz","2"
2515,"Marmara,     İç Anadolu","2"
3175,"Akdeniz,     Marmara","2"
