"date_","total_price"
"2019-01-01","68.97"
"2019-01-03","203442.70"
"2019-01-04","132.42"
"2019-01-05","55001.15"
"2019-01-06","49.50"
"2019-01-07","76.60"
"2019-01-11","492.12"
"2019-01-12","163297.90"
"2019-01-13","83.94"
"2019-01-14","33.60"
"2019-01-15","6.50"
"2019-01-16","77.24"
"2019-01-17","135.86"
"2019-01-18","39.90"
"2019-01-19","9.90"
"2019-01-20","14.40"
"2019-01-21","60.60"
"2019-01-23","22.50"
"2019-01-26","35.00"
"2019-01-28","43008.00"
"2019-01-29","20544.00"
"2019-02-01","36624.00"
"2019-02-02","4.80"
"2019-02-03","34973.91"
"2019-02-04","6.31"
"2019-02-05","94.00"
"2019-02-06","19005.00"
"2019-02-07","303480.00"
"2019-02-09","95280.00"
"2019-02-11","223.68"
"2019-02-12","16.98"
"2019-02-13","103.20"
"2019-02-14","40.95"
"2019-02-16","426.63"
"2019-02-17","41.90"
"2019-02-18","1824.00"
"2019-02-26","59.60"
"2019-02-27","17.25"
"2019-03-01","26.90"
"2019-03-03","34416.00"
"2019-03-04","5.00"
"2019-03-08","4860.00"
"2019-03-12","119.60"
"2019-03-13","66544.00"
"2019-03-14","431.50"
"2019-03-16","782.10"
"2019-03-17","73728.00"
"2019-03-18","10685.60"
"2019-03-19","20016.00"
"2019-03-23","210.00"
"2019-03-24","188748.00"
"2019-03-25","73.90"
"2019-03-26","23434.80"
"2019-03-28","191.30"
"2019-04-01","24.48"
"2019-04-02","14.94"
"2019-04-04","89.50"
"2019-04-05","8950.35"
"2019-04-06","30.96"
"2019-04-07","130.05"
"2019-04-11","1322244.00"
"2019-04-12","32.25"
"2019-04-13","693.45"
"2019-04-14","8.05"
"2019-04-16","2208.00"
"2019-04-18","41.30"
"2019-04-19","32.80"
"2019-04-20","22.35"
"2019-04-22","689910.00"
"2019-04-23","52344.00"
"2019-04-24","2474.25"
"2019-04-27","59.50"
"2019-04-28","4032.00"
"2019-04-29","79.20"
"2019-04-30","20.85"
"2019-05-01","6972.00"
"2019-05-02","20.94"
"2019-05-03","525.00"
"2019-05-06","48.93"
"2019-05-07","64.80"
"2019-05-10","485.00"
"2019-05-13","52.00"
"2019-05-15","71.91"
"2019-05-16","39.84"
"2019-05-17","3456.00"
"2019-05-18","194.70"
"2019-05-19","3083328.00"
"2019-05-20","15733.65"
"2019-05-22","1.33"
"2019-05-25","661016940.00"
"2019-05-26","168.60"
"2019-05-31","28.56"
"2019-06-01","35.80"
"2019-06-02","10582.00"
"2019-06-03","79.20"
"2019-06-04","38735.40"
"2019-06-07","12.25"
"2019-06-08","13.65"
"2019-06-09","73620.00"
"2019-06-10","7851.55"
"2019-06-11","75.95"
"2019-06-12","336.25"
"2019-06-14","22.50"
"2019-06-15","164.70"
"2019-06-17","134.10"
"2019-06-19","244.56"
"2019-06-20","15.00"
"2019-06-21","26.00"
"2019-06-22","17544.00"
"2019-06-24","912.00"
"2019-06-25","124.30"
"2019-06-26","51.84"
"2019-06-29","197.10"
"2019-07-03","672.00"
"2019-07-05","53928.00"
"2019-07-08","20.00"
"2019-07-09","17388.00"
"2019-07-10","238.93"
"2019-07-12","431574.60"
"2019-07-16","948.05"
"2019-07-18","216523.50"
"2019-07-19","225.75"
"2019-07-22","61.60"
"2019-07-23","23.85"
"2019-07-24","48.75"
"2019-07-26","599.40"
"2019-07-29","29315.40"
"2019-07-31","128.65"
"2019-08-01","28.80"
"2019-08-02","75257.99"
"2019-08-04","356.40"
"2019-08-05","134.00"
"2019-08-06","74.88"
"2019-08-07","49.44"
"2019-08-09","674.33"
"2019-08-10","58.20"
"2019-08-11","120.00"
"2019-08-12","264.50"
"2019-08-14","57149.75"
"2019-08-17","13.45"
"2019-08-18","29808.00"
"2019-08-19","31176.00"
"2019-08-22","22.35"
"2019-08-23","37.80"
"2019-08-24","99.30"
"2019-08-25","38.40"
"2019-08-26","256.85"
"2019-08-27","145816.60"
"2019-08-28","7.20"
"2019-08-29","30041.76"
"2019-08-31","59759.25"
"2019-09-01","66.73"
"2019-09-05","110.00"
"2019-09-06","169.55"
"2019-09-08","35.40"
"2019-09-09","21.28"
"2019-09-10","18432.00"
"2019-09-11","3.60"
"2019-09-12","72.25"
"2019-09-13","42.30"
"2019-09-14","13.00"
"2019-09-17","22274.25"
"2019-09-20","62.30"
"2019-09-23","20450.30"
"2019-09-24","6.98"
"2019-09-26","9.60"
"2019-09-27","127.80"
"2019-10-01","45144.00"
"2019-10-03","2.50"
"2019-10-09","6.00"
"2019-10-11","3.90"
"2019-10-12","56.70"
"2019-10-13","201.90"
"2019-10-15","284.86"
"2019-10-17","90.76"
"2019-10-20","11.00"
"2019-10-21","38.97"
"2019-10-24","208.50"
"2019-10-25","131184.00"
"2019-10-27","53.96"
"2019-10-28","59.50"
"2019-10-29","15.00"
"2019-10-31","111513.00"
"2019-11-01","82.50"
"2019-11-02","38688.00"
"2019-11-03","62.65"
"2019-11-04","13271.60"
"2019-11-06","461.50"
"2019-11-07","20.93"
"2019-11-14","94607.14"
"2019-11-16","70368.00"
"2019-11-18","234.50"
"2019-11-19","390.00"
"2019-11-23","549.90"
"2019-11-24","83.65"
"2019-11-25","235.00"
"2019-11-26","23.60"
"2019-11-27","307.80"
"2019-11-28","30144.00"
"2019-11-30","1.90"
"2019-12-01","104.70"
"2019-12-02","251.40"
"2019-12-03","82.20"
"2019-12-04","29.16"
"2019-12-05","57.00"
"2019-12-06","315.05"
"2019-12-07","7021.35"
"2019-12-09","188.80"
"2019-12-12","13385.90"
"2019-12-13","32.50"
"2019-12-15","8.60"
"2019-12-16","280.00"
"2019-12-17","127.70"
"2019-12-21","384.65"
"2019-12-22","14.75"
"2019-12-25","134.25"
"2019-12-27","130464.00"
"2019-12-28","2527968.00"
